instrument,open,high,low,close,date
GBP_USD,1.62800,1.63014,1.62218,1.62305,2012-04-30:01:00:00+0100
GBP_USD,1.62308,1.62474,1.61868,1.62210,2012-05-01:01:00:00+0100
GBP_USD,1.62214,1.62392,1.61606,1.61931,2012-05-02:01:00:00+0100
GBP_USD,1.61927,1.62156,1.61596,1.61908,2012-05-03:01:00:00+0100
GBP_USD,1.61905,1.62028,1.61414,1.61495,2012-05-04:01:00:00+0100
GBP_USD,1.61165,1.61654,1.61148,1.61183,2012-05-06:01:00:00+0100
GBP_USD,1.61187,1.61988,1.61148,1.61897,2012-05-07:01:00:00+0100
GBP_USD,1.61901,1.61900,1.61248,1.61457,2012-05-08:01:00:00+0100
GBP_USD,1.61453,1.61564,1.60672,1.61369,2012-05-09:01:00:00+0100
GBP_USD,1.61373,1.61824,1.60918,1.61335,2012-05-10:01:00:00+0100
GBP_USD,1.61331,1.61426,1.60622,1.60696,2012-05-11:01:00:00+0100
GBP_USD,1.60847,1.60847,1.60545,1.60735,2012-05-13:01:00:00+0100
GBP_USD,1.60732,1.61230,1.60516,1.60986,2012-05-14:01:00:00+0100
GBP_USD,1.60990,1.61140,1.59842,1.59842,2012-05-15:01:00:00+0100
GBP_USD,1.59846,1.59894,1.58894,1.59219,2012-05-16:01:00:00+0100
GBP_USD,1.59223,1.59328,1.57814,1.57845,2012-05-17:01:00:00+0100
GBP_USD,1.57841,1.58375,1.57326,1.58167,2012-05-18:01:00:00+0100
GBP_USD,1.58217,1.58217,1.58217,1.58217,2012-05-19:01:00:00+0100
GBP_USD,1.58150,1.58356,1.57945,1.58118,2012-05-20:01:00:00+0100
GBP_USD,1.58114,1.58410,1.57800,1.58293,2012-05-21:01:00:00+0100
GBP_USD,1.58289,1.58484,1.57416,1.57573,2012-05-22:01:00:00+0100
GBP_USD,1.57570,1.57674,1.56757,1.56804,2012-05-23:01:00:00+0100
GBP_USD,1.56807,1.57266,1.56384,1.56577,2012-05-24:01:00:00+0100
GBP_USD,1.56573,1.56994,1.56302,1.56656,2012-05-25:01:00:00+0100
GBP_USD,1.56606,1.56977,1.56541,1.56794,2012-05-27:01:00:00+0100
GBP_USD,1.56791,1.57170,1.56638,1.56668,2012-05-28:01:00:00+0100
GBP_USD,1.56664,1.57168,1.56084,1.56323,2012-05-29:01:00:00+0100
GBP_USD,1.56327,1.56376,1.54719,1.54811,2012-05-30:01:00:00+0100
GBP_USD,1.54815,1.55262,1.53610,1.53975,2012-05-31:01:00:00+0100
GBP_USD,1.53971,1.54392,1.52690,1.53624,2012-06-01:01:00:00+0100
GBP_USD,1.53497,1.53786,1.53435,1.53486,2012-06-03:01:00:00+0100
GBP_USD,1.53490,1.54154,1.53424,1.53962,2012-06-04:01:00:00+0100
GBP_USD,1.53958,1.54086,1.53218,1.53832,2012-06-05:01:00:00+0100
GBP_USD,1.53835,1.55154,1.53770,1.54812,2012-06-06:01:00:00+0100
GBP_USD,1.54809,1.56008,1.54299,1.55223,2012-06-07:01:00:00+0100
GBP_USD,1.55227,1.55248,1.54040,1.54712,2012-06-08:01:00:00+0100
GBP_USD,1.54712,1.55685,1.54662,1.55357,2012-06-10:01:00:00+0100
GBP_USD,1.55354,1.55822,1.54622,1.54832,2012-06-11:01:00:00+0100
GBP_USD,1.54836,1.55906,1.54545,1.55656,2012-06-12:01:00:00+0100
GBP_USD,1.55659,1.55982,1.55048,1.55209,2012-06-13:01:00:00+0100
GBP_USD,1.55205,1.55638,1.54732,1.55520,2012-06-14:01:00:00+0100
GBP_USD,1.55516,1.57282,1.54765,1.57149,2012-06-15:01:00:00+0100
GBP_USD,1.57149,1.57901,1.56936,1.57141,2012-06-17:01:00:00+0100
GBP_USD,1.57137,1.57312,1.56370,1.56852,2012-06-18:01:00:00+0100
GBP_USD,1.56849,1.57569,1.56152,1.57181,2012-06-19:01:00:00+0100
GBP_USD,1.57184,1.57774,1.56514,1.57060,2012-06-20:01:00:00+0100
GBP_USD,1.57056,1.57336,1.55781,1.55981,2012-06-21:01:00:00+0100
GBP_USD,1.55977,1.56342,1.55574,1.55872,2012-06-22:01:00:00+0100
GBP_USD,1.55702,1.55948,1.55514,1.55820,2012-06-24:01:00:00+0100
GBP_USD,1.55816,1.55906,1.55392,1.55649,2012-06-25:01:00:00+0100
GBP_USD,1.55652,1.56510,1.55652,1.56337,2012-06-26:01:00:00+0100
GBP_USD,1.56334,1.56410,1.55460,1.55691,2012-06-27:01:00:00+0100
GBP_USD,1.55695,1.56236,1.54852,1.55177,2012-06-28:01:00:00+0100
GBP_USD,1.55174,1.57154,1.55134,1.57050,2012-06-29:01:00:00+0100
GBP_USD,1.56998,1.57134,1.56706,1.56792,2012-07-01:01:00:00+0100
GBP_USD,1.56796,1.57218,1.56418,1.56904,2012-07-02:01:00:00+0100
GBP_USD,1.56900,1.57134,1.56580,1.56889,2012-07-03:01:00:00+0100
GBP_USD,1.56885,1.56898,1.55747,1.55828,2012-07-04:01:00:00+0100
GBP_USD,1.55832,1.56228,1.55000,1.55292,2012-07-05:01:00:00+0100
GBP_USD,1.55296,1.55508,1.54612,1.54900,2012-07-06:01:00:00+0100
GBP_USD,1.54813,1.54897,1.54695,1.54798,2012-07-08:01:00:00+0100
GBP_USD,1.54794,1.55346,1.54706,1.55277,2012-07-09:01:00:00+0100
GBP_USD,1.55281,1.55490,1.54791,1.55157,2012-07-10:01:00:00+0100
GBP_USD,1.55161,1.55784,1.54863,1.55087,2012-07-11:01:00:00+0100
GBP_USD,1.55083,1.55167,1.53936,1.54240,2012-07-12:01:00:00+0100
GBP_USD,1.54244,1.55804,1.54144,1.55754,2012-07-13:01:00:00+0100
GBP_USD,1.55754,1.55934,1.55676,1.55808,2012-07-15:01:00:00+0100
GBP_USD,1.55804,1.56543,1.55174,1.56253,2012-07-16:01:00:00+0100
GBP_USD,1.56256,1.56786,1.55537,1.56639,2012-07-17:01:00:00+0100
GBP_USD,1.56635,1.56686,1.55818,1.56463,2012-07-18:01:00:00+0100
GBP_USD,1.56466,1.57376,1.56368,1.57167,2012-07-19:01:00:00+0100
GBP_USD,1.57163,1.57190,1.56121,1.56222,2012-07-20:01:00:00+0100
GBP_USD,1.56222,1.56274,1.55993,1.56093,2012-07-22:01:00:00+0100
GBP_USD,1.56097,1.56109,1.54856,1.55161,2012-07-23:01:00:00+0100
GBP_USD,1.55157,1.55520,1.54870,1.54984,2012-07-24:01:00:00+0100
GBP_USD,1.54980,1.55518,1.54588,1.54849,2012-07-25:01:00:00+0100
GBP_USD,1.54845,1.57238,1.54712,1.56829,2012-07-26:01:00:00+0100
GBP_USD,1.56825,1.57678,1.56666,1.57489,2012-07-27:01:00:00+0100
GBP_USD,1.57489,1.57535,1.57249,1.57261,2012-07-29:01:00:00+0100
GBP_USD,1.57265,1.57320,1.56728,1.57117,2012-07-30:01:00:00+0100
GBP_USD,1.57114,1.57306,1.56256,1.56672,2012-07-31:01:00:00+0100
GBP_USD,1.56668,1.56910,1.55304,1.55429,2012-08-01:01:00:00+0100
GBP_USD,1.55426,1.56797,1.54910,1.55134,2012-08-02:01:00:00+0100
GBP_USD,1.55130,1.56570,1.55054,1.56427,2012-08-03:01:00:00+0100
GBP_USD,1.56427,1.56657,1.56051,1.56531,2012-08-05:01:00:00+0100
GBP_USD,1.56527,1.56527,1.55472,1.55879,2012-08-06:01:00:00+0100
GBP_USD,1.55875,1.56842,1.55640,1.56116,2012-08-07:01:00:00+0100
GBP_USD,1.56120,1.56770,1.55728,1.56680,2012-08-08:01:00:00+0100
GBP_USD,1.56676,1.56858,1.56056,1.56294,2012-08-09:01:00:00+0100
GBP_USD,1.56290,1.57014,1.55776,1.56887,2012-08-10:01:00:00+0100
GBP_USD,1.56887,1.56888,1.56658,1.56658,2012-08-12:01:00:00+0100
GBP_USD,1.56662,1.57170,1.56572,1.56756,2012-08-13:01:00:00+0100
GBP_USD,1.56760,1.57284,1.56696,1.56747,2012-08-14:01:00:00+0100
GBP_USD,1.56750,1.57017,1.56606,1.56788,2012-08-15:01:00:00+0100
GBP_USD,1.56784,1.57444,1.56366,1.57350,2012-08-16:01:00:00+0100
GBP_USD,1.57353,1.57392,1.56748,1.56969,2012-08-17:01:00:00+0100
GBP_USD,1.56969,1.57100,1.56845,1.56882,2012-08-19:01:00:00+0100
GBP_USD,1.56879,1.57174,1.56786,1.57099,2012-08-20:01:00:00+0100
GBP_USD,1.57095,1.58045,1.57062,1.57767,2012-08-21:01:00:00+0100
GBP_USD,1.57771,1.58864,1.57664,1.58831,2012-08-22:01:00:00+0100
GBP_USD,1.58828,1.59126,1.58536,1.58574,2012-08-23:01:00:00+0100
GBP_USD,1.58571,1.58696,1.58030,1.58114,2012-08-24:01:00:00+0100
GBP_USD,1.58114,1.58214,1.58005,1.58007,2012-08-26:01:00:00+0100
GBP_USD,1.58011,1.58290,1.57878,1.57910,2012-08-27:01:00:00+0100
GBP_USD,1.57907,1.58362,1.57548,1.58255,2012-08-28:01:00:00+0100
GBP_USD,1.58252,1.58554,1.58032,1.58265,2012-08-29:01:00:00+0100
GBP_USD,1.58268,1.58746,1.57714,1.57873,2012-08-30:01:00:00+0100
GBP_USD,1.57876,1.58956,1.57784,1.58633,2012-08-31:01:00:00+0100
GBP_USD,1.58633,1.58869,1.58633,1.58659,2012-09-02:01:00:00+0100
GBP_USD,1.58663,1.58984,1.58504,1.58797,2012-09-03:01:00:00+0100
GBP_USD,1.58801,1.59096,1.58558,1.58646,2012-09-04:01:00:00+0100
GBP_USD,1.58642,1.59338,1.58264,1.59031,2012-09-05:01:00:00+0100
GBP_USD,1.59027,1.59430,1.58819,1.59319,2012-09-06:01:00:00+0100
